PdfType: central
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2
-2.000000e-04 1.422773e-06
-1.953828e-04 1.417753e-06
-1.940129e-04 1.416265e-06
-1.873622e-04 1.409030e-06
-1.805139e-04 1.401584e-06
-1.734734e-04 1.393927e-06
-1.662470e-04 1.386069e-06
-1.588407e-04 1.378013e-06
-1.512612e-04 1.369770e-06
-1.435155e-04 1.361346e-06
-1.356107e-04 1.352749e-06
-1.275538e-04 1.343990e-06
-1.193520e-04 1.335068e-06
-1.110126e-04 1.326002e-06
-1.025427e-04 1.316789e-06
-9.394930e-05 1.307443e-06
-8.523926e-05 1.297970e-06
-7.641936e-05 1.288380e-06
-6.749606e-05 1.278674e-06
-5.847575e-05 1.268867e-06
-2.650254e-04 1.798989e-06
-2.594479e-04 1.792447e-06
-2.536556e-04 1.785654e-06
-2.476495e-04 1.778608e-06
-2.414310e-04 1.771315e-06
-2.350030e-04 1.763776e-06
-2.283684e-04 1.755996e-06
-2.230950e-04 1.749809e-06
-2.215304e-04 1.747973e-06
-2.139345e-04 1.739064e-06
-2.061129e-04 1.729893e-06
-1.980718e-04 1.720461e-06
-1.898184e-04 1.710780e-06
-1.813594e-04 1.700858e-06
-1.727029e-04 1.690706e-06
-1.638563e-04 1.680330e-06
-1.548281e-04 1.669741e-06
-1.456262e-04 1.658950e-06
-1.362588e-04 1.647963e-06
-1.267342e-04 1.636792e-06
-1.170606e-04 1.625448e-06
-1.072459e-04 1.613935e-06
-9.729797e-05 1.602265e-06
-8.722460e-05 1.590453e-06
-7.703314e-05 1.578498e-06
-6.673089e-05 1.566417e-06
-3.027330e-04 2.227044e-06
-2.963606e-04 2.218966e-06
-2.897428e-04 2.210576e-06
-2.828807e-04 2.201874e-06
-2.757759e-04 2.192865e-06
-2.684319e-04 2.183553e-06
-2.608515e-04 2.173943e-06
-2.548265e-04 2.166304e-06
-2.530389e-04 2.164039e-06
-2.443604e-04 2.153034e-06
-2.354240e-04 2.141704e-06
-2.262368e-04 2.130053e-06
-2.168070e-04 2.118099e-06
-2.071426e-04 2.105842e-06
-1.972521e-04 2.093304e-06
-1.871448e-04 2.080489e-06
-1.768297e-04 2.067409e-06
-1.663164e-04 2.054079e-06
-1.556138e-04 2.040509e-06
-1.447318e-04 2.026711e-06
-1.336795e-04 2.012698e-06
-1.224660e-04 1.998482e-06
-1.111003e-04 1.984068e-06
-9.959124e-05 1.969477e-06
-8.794733e-05 1.954713e-06
-7.617670e-05 1.939790e-06
-3.459331e-04 2.766806e-06
-3.386498e-04 2.756794e-06
-3.310861e-04 2.746398e-06
-3.232427e-04 2.735617e-06
-3.151224e-04 2.724457e-06
-3.067284e-04 2.712919e-06
-2.980644e-04 2.701012e-06
-2.911782e-04 2.691547e-06
-2.891351e-04 2.688738e-06
-2.792159e-04 2.675105e-06
-2.690020e-04 2.661066e-06
-2.585014e-04 2.646632e-06
-2.477236e-04 2.631816e-06
-2.366775e-04 2.616636e-06
-2.253733e-04 2.601098e-06
-2.138211e-04 2.585216e-06
-2.020315e-04 2.569013e-06
-1.900152e-04 2.552497e-06
-1.777828e-04 2.535685e-06
-1.653452e-04 2.518591e-06
-1.527129e-04 2.501223e-06
-1.398964e-04 2.483608e-06
-1.269060e-04 2.465755e-06
-1.137518e-04 2.447673e-06
-1.004434e-04 2.429382e-06
-8.699026e-05 2.410888e-06
-3.954531e-04 3.451623e-06
-3.871253e-04 3.439174e-06
-3.784766e-04 3.426244e-06
-3.695086e-04 3.412836e-06
